provincia_id,municipio,id
1,Alegría-Dulantzi,1
1,Amurrio,2
1,Añana,3
1,Aramaio,4
1,Armiñón,5
1,Arraia-Maeztu,6
1,Arrazua-Ubarrundia,7
1,Artziniega,8
1,Asparrena,9
1,Ayala/Aiara,10
1,Baños de Ebro/Mañueta,11
1,Barrundia,12
1,Berantevilla,13
1,Bernedo,14
1,Campezo/Kanpezu,15
1,Elburgo/Burgelu,16
1,Elciego,17
1,Elvillar/Bilar,18
1,Erriberagoitia/Ribera Alta,19
1,Harana/Valle de Arana,20
1,Iruña Oka/Iruña de Oca,21
1,Iruraiz-Gauna,22
1,Kripan,23
1,Kuartango,24
1,Labastida/Bastida,25
1,Lagrán,26
1,Laguardia,27
1,Lanciego/Lantziego,28
1,Lantarón,29
1,Lapuebla de Labarca,30
1,Laudio/Llodio,31
1,Legutio,32
1,Leza,33
1,Moreda de Álava,34
1,Navaridas,35
1,Okondo,36
1,Oyón-Oion,37
1,Peñacerrada-Urizaharra,38
1,Ribera Baja/Erribera Beitia,39
1,Salvatierra/Agurain,40
1,Samaniego,41
1,San Millán/Donemiliaga,42
1,Urkabustaiz,43
1,Valdegovía/Gaubea,44
1,Villabuena de Álava/Eskuernaga,45
1,Vitoria-Gasteiz,46
1,Yécora/Iekora,47
1,Zalduondo,48
1,Zambrana,49
1,Zigoitia,50
1,Zuia,51
2,Abengibre,52
2,Alatoz,53
2,Albacete,54
2,Albatana,55
2,Alborea,56
2,Alcadozo,57
2,Alcalá del Júcar,58
2,Alcaraz,59
2,Almansa,60
2,Alpera,61
2,Ayna,62
2,Balazote,63
2,"Ballestero, El",64
2,Balsa de Ves,65
2,Barrax,66
2,Bienservida,67
2,Bogarra,68
2,Bonete,69
2,"Bonillo, El",70
2,Carcelén,71
2,Casas de Juan Núñez,72
2,Casas de Lázaro,73
2,Casas de Ves,74
2,Casas-Ibáñez,75
2,Caudete,76
2,Cenizate,77
2,Chinchilla de Monte-Aragón,78
2,Corral-Rubio,79
2,Cotillas,80
2,Elche de la Sierra,81
2,Férez,82
2,Fuensanta,83
2,Fuente-Álamo,84
2,Fuentealbilla,85
2,"Gineta, La",86
2,Golosalvo,87
2,Hellín,88
2,"Herrera, La",89
2,Higueruela,90
2,Hoya-Gonzalo,91
2,Jorquera,92
2,Letur,93
2,Lezuza,94
2,Liétor,95
2,Madrigueras,96
2,Mahora,97
2,Masegoso,98
2,Minaya,99
2,Molinicos,100
2,Montalvos,101
2,Montealegre del Castillo,102
2,Motilleja,103
2,Munera,104
2,Navas de Jorquera,105
2,Nerpio,106
2,Ontur,107
2,Ossa de Montiel,108
2,Paterna del Madera,109
2,Peñas de San Pedro,110
2,Peñascosa,111
2,Pétrola,112
2,Povedilla,113
2,Pozo Cañada,114
2,Pozohondo,115
2,Pozo-Lorente,116
2,Pozuelo,117
2,"Recueja, La",118
2,Riópar,119
2,Robledo,120
2,"Roda, La",121
2,Salobre,122
2,San Pedro,123
2,Socovos,124
2,Tarazona de la Mancha,125
2,Tobarra,126
2,Valdeganga,127
2,Vianos,128
2,Villa de Ves,129
2,Villalgordo del Júcar,130
2,Villamalea,131
2,Villapalacios,132
2,Villarrobledo,133
2,Villatoya,134
2,Villavaliente,135
2,Villaverde de Guadalimar,136
2,Viveros,137
2,Yeste,138
3,Adsubia,139
3,Agost,140
3,Agres,141
3,Aigües,142
3,Albatera,143
3,Alcalalí,144
3,Alcocer de Planes,145
3,Alcoleja,146
3,Alcoy/Alcoi,147
3,Alfafara,148
3,"Alfàs del Pi, l'",149
3,Algorfa,150
3,Algueña,151
3,Alicante/Alacant,152
3,Almoradí,153
3,Almudaina,154
3,"Alqueria d'Asnar, l'",155
3,Altea,156
3,Aspe,157
3,Balones,158
3,Banyeres de Mariola,159
3,Benasau,160
3,Beneixama,161
3,Benejúzar,162
3,Benferri,163
3,Beniarbeig,164
3,Beniardá,165
3,Beniarrés,166
3,Benidoleig,167
3,Benidorm,168
3,Benifallim,169
3,Benifato,170
3,Benigembla,171
3,Benijófar,172
